feature,mean_abs_shap
NAME_TYPE_SUITE_Family,0.0013962682581834202
NAME_EDUCATION_TYPE_Academic degree,0.001384515769338847
OCCUPATION_TYPE_Managers,0.001384361860494876
FLAG_DOCUMENT_11,0.0013314764532922191
LIVE_REGION_NOT_WORK_REGION,0.001316234293339958
NAME_FAMILY_STATUS_Civil marriage,0.0012935343679713969
OCCUPATION_TYPE_Sales staff,0.0012745626785367
FLOORSMAX_MEDI,0.001262885898782336
NAME_TYPE_SUITE_Children,0.0012405648495170795
OCCUPATION_TYPE_Cleaning staff,0.0012296347928145266
FLAG_EMAIL,0.0011502543059667136
NAME_INCOME_TYPE_State servant,0.0010602120821969544
REG_REGION_NOT_LIVE_REGION,0.0010408330733465854
OCCUPATION_TYPE_Private service staff,0.0010239429085790296
FONDKAPREMONT_MODE_not specified,0.00096669252632216
NAME_HOUSING_TYPE_Rented apartment,0.0009617961346341365
FLAG_DOCUMENT_5,0.0009242041090369389
OCCUPATION_TYPE_Security staff,0.0009153065847573725
FONDKAPREMONT_MODE_org spec account,0.0007957023679394324
OCCUPATION_TYPE_Low-skill Laborers,0.000791312946109027
WALLSMATERIAL_MODE_Block,0.0007517719109704342
FLAG_OWN_REALTY_Y,0.000747891457438309
FLAG_DOCUMENT_15,0.0007252000005418474
AMT_REQ_CREDIT_BUREAU_DAY,0.0006321191758873029
WALLSMATERIAL_MODE_Others,0.0005976232508463825
FLAG_DOCUMENT_8,0.0005852474947936448
OCCUPATION_TYPE_Medicine staff,0.0005665930645268742
OCCUPATION_TYPE_Cooking staff,0.0005414584208351534
NAME_INCOME_TYPE_Unemployed,0.0005292696998933092
NAME_TYPE_SUITE_Other_B,0.0004826024836446671
HOUSETYPE_MODE_specific housing,0.0004808094269861994
FLAG_EMP_PHONE,0.0004426234219748324
NAME_EDUCATION_TYPE_Incomplete higher,0.00043265309841767816
NAME_INCOME_TYPE_Pensioner,0.000344649458859491
WALLSMATERIAL_MODE_Mixed,0.0003380487689536974
OCCUPATION_TYPE_Secretaries,0.00029596895621237173
OCCUPATION_TYPE_Waiters/barmen staff,0.00019225263851353178
NAME_HOUSING_TYPE_Co-op apartment,0.0001867183426774654
HOUSETYPE_MODE_block of flats,0.00018417361474586268
FLAG_CONT_MOBILE,8.715076947276088e-05
WALLSMATERIAL_MODE_Monolithic,8.373524493924034e-05
WALLSMATERIAL_MODE_Wooden,8.305441190424431e-05
EMERGENCYSTATE_MODE_No,7.276525439877723e-05
NAME_TYPE_SUITE_Other_A,6.751632398192593e-05
FLAG_DOCUMENT_9,4.708379371439054e-05
AMT_REQ_CREDIT_BUREAU_HOUR,3.8235473084036256e-05
FLAG_DOCUMENT_21,2.7245029075696197e-05
FLAG_MOBIL,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_2,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_TYPE_SUITE_Group of people,0.0
CODE_GENDER_XNA,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_4,0.0
NAME_FAMILY_STATUS_Unknown,0.0
NAME_INCOME_TYPE_Student,0.0
HOUSETYPE_MODE_terraced house,0.0
EMERGENCYSTATE_MODE_Yes,0.0
OCCUPATION_TYPE_HR staff,0.0
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_Realty agents,0.0
